plot,Nrate_lbac,Nrate_kgha,yield_buac,yield_kgha
301,0,0,65.07488419,4376.285962
807,0,0,92.59979645,6227.336311
207,0,0,105.8364396,7117.50056
608,0,0,111.5758286,7503.474471
702,0,0,115.3266036,7755.714089
505,0,0,135.3471429,9102.095357
908,0,0,137.6899811,9259.651227
503,60,67.2,116.1288243,7809.663437
302,60,67.2,119.0246622,8004.408534
607,60,67.2,125.7811263,8458.780743
802,60,67.2,134.3327067,9033.874524
203,60,67.2,141.1086249,9489.555021
903,60,67.2,170.3791283,11457.99638
701,60,67.2,189.6710287,12755.37668
501,120,134.4,47.11034252,3168.170534
306,120,134.4,134.0716413,9016.317874
905,120,134.4,145.2017183,9764.815559
708,120,134.4,166.8035016,11217.53548
205,120,134.4,167.2001934,11244.21301
806,120,134.4,194.3519797,13070.17064
604,120,134.4,198.403833,13342.65777
308,180,201.6,141.7541082,9532.963776
906,180,201.6,158.6493495,10669.16875
804,180,201.6,169.9262835,11427.54257
605,180,201.6,171.5602438,11537.42639
201,180,201.6,177.5526588,11940.41631
707,180,201.6,192.0086505,12912.58175
507,180,201.6,211.9374426,14252.79302
601,240,268.8,130.0370942,8744.994583
303,240,268.8,147.1374933,9894.996426
803,240,268.8,169.6244074,11407.2414
206,240,268.8,181.4186242,12200.40248
705,240,268.8,184.0885613,12379.95575
904,240,268.8,224.4153758,15091.93402
508,240,268.8,235.5666254,15841.85556
305,300,336,134.8229254,9066.841736
801,300,336,153.1637843,10300.26449
208,300,336,167.7228766,11279.36345
602,300,336,184.6909633,12420.46728
902,300,336,193.0330286,12981.47117
706,300,336,206.304284,13873.9631
506,300,336,208.5003266,14021.64697
504,360,403.2,142.8653853,9607.697161
808,360,403.2,184.2779473,12392.69195
304,360,403.2,184.99959,12441.22243
202,360,403.2,195.536716,13149.84415
606,360,403.2,200.246756,13466.59434
901,360,403.2,214.5553998,14428.85064
703,360,403.2,228.2103981,15347.14927
307,420,470.4,118.3926188,7961.903612
907,420,470.4,150.8564176,10145.09408
502,420,470.4,151.1086458,10162.05643
805,420,470.4,190.0099719,12778.17061
204,420,470.4,212.5168311,14291.75689
704,420,470.4,213.51212,14358.69007
603,420,470.4,222.7414641,14979.36346
