Plot,Nrate_lbac,Nrate_kgha,yield_buac,yield_kgha
108,0,0,76.22691107,5126.25977
203,0,0,143.2251071,9631.888455
306,0,0,137.3154896,9234.466679
404,0,0,104.9376694,7057.058264
507,0,0,101.0186041,6793.501129
602,0,0,86.58236314,5822.663921
103,60,67.2,199.9056036,13443.65184
208,60,67.2,165.2132159,11110.58877
305,60,67.2,192.5092612,12946.24782
408,60,67.2,173.4070178,11661.62195
501,60,67.2,156.4891466,10523.89511
605,60,67.2,151.8011228,10208.62551
104,120,134.4,193.8182961,13034.28041
205,120,134.4,220.4900663,14827.95696
303,120,134.4,218.3494965,14684.00364
405,120,134.4,221.7203693,14910.69484
502,120,134.4,212.7527811,14307.62453
608,120,134.4,229.6866391,15446.42648
107,180,201.6,223.6209029,15038.50572
201,180,201.6,234.4771344,15768.58729
308,180,201.6,226.3771101,15223.86065
401,180,201.6,227.6845391,15311.78525
504,180,201.6,231.9533485,15598.86269
601,180,201.6,226.952305,15262.54251
106,240,268.8,231.895155,15594.94917
207,240,268.8,214.3774541,14416.88379
302,240,268.8,243.3725471,16366.80379
407,240,268.8,235.1630602,15814.7158
508,240,268.8,202.8859011,13644.07685
606,240,268.8,156.8913565,10550.94373
105,300,336,235.4049579,15830.98342
204,300,336,250.1588111,16823.18005
301,300,336,236.9582021,15935.43909
406,300,336,222.8092159,14983.91977
503,300,336,234.8264286,15792.07732
604,300,336,250.3327985,16834.8807
101,360,403.2,240.1217077,16148.18484
206,360,403.2,240.9076247,16201.03776
307,360,403.2,237.3845302,15964.10965
402,360,403.2,230.6735817,15512.79837
505,360,403.2,233.0015481,15669.35411
607,360,403.2,233.3742751,15694.42
102,420,470.4,238.634855,16048.194
202,420,470.4,233.9786103,15735.06154
304,420,470.4,243.6831581,16387.69238
403,420,470.4,237.4920903,15971.34307
506,420,470.4,238.4763736,16037.53613
603,420,470.4,184.788152,12427.00322
Fill,,0,211.5494243,14226.69879
